code_insee,nom_commune,annee,type_bien,n_ventes,prix_m2_median,prix_median,surface_mediane,fiable
59005,Allennes-les-Marais,2021,Maison,50,2337.0,229025.0,102.0,true
59005,Allennes-les-Marais,2022,Maison,62,2425.0,231000.0,98.0,true
59005,Allennes-les-Marais,2023,Maison,24,1978.0,214425.0,100.0,true
59005,Allennes-les-Marais,2024,Maison,24,2222.0,210000.0,93.0,true
59005,Allennes-les-Marais,2025,Maison,30,2108.0,197500.0,95.0,true
59009,Villeneuve-d'Ascq,2021,Appartement,441,4537.0,112100.0,37.0,true
59009,Villeneuve-d'Ascq,2022,Appartement,301,2380.0,146000.0,64.0,true
59009,Villeneuve-d'Ascq,2023,Appartement,190,2556.0,160000.0,63.0,true
59009,Villeneuve-d'Ascq,2024,Appartement,172,2396.0,145000.0,66.0,true
59009,Villeneuve-d'Ascq,2025,Appartement,173,2567.0,146000.0,64.0,true
59009,Villeneuve-d'Ascq,2021,Maison,431,3000.0,288000.0,95.0,true
59009,Villeneuve-d'Ascq,2022,Maison,415,3293.0,292500.0,93.0,true
59009,Villeneuve-d'Ascq,2023,Maison,296,3064.0,278500.0,92.0,true
59009,Villeneuve-d'Ascq,2024,Maison,353,2922.0,267000.0,93.0,true
59009,Villeneuve-d'Ascq,2025,Maison,310,3075.0,279350.0,91.0,true
59011,Annœullin,2021,Appartement,10,2558.0,122200.0,63.0,true
59011,Annœullin,2022,Appartement,11,2634.0,160000.0,67.0,true
59011,Annœullin,2023,Appartement,9,1842.0,95000.0,52.0,false
59011,Annœullin,2024,Appartement,9,1842.0,118300.0,50.0,false
59011,Annœullin,2025,Appartement,14,2638.0,170800.0,65.0,true
59011,Annœullin,2021,Maison,114,2253.0,211793.0,92.0,true
59011,Annœullin,2022,Maison,97,2266.0,222000.0,91.0,true
59011,Annœullin,2023,Maison,78,2338.0,210108.0,91.0,true
59011,Annœullin,2024,Maison,70,2110.0,190000.0,92.0,true
59011,Annœullin,2025,Maison,114,2192.0,194950.0,87.0,true
59013,Anstaing,2022,Appartement,1,3780.0,155000.0,41.0,false
59013,Anstaing,2023,Appartement,1,3857.0,243000.0,63.0,false
59013,Anstaing,2024,Appartement,1,3577.0,232500.0,65.0,false
59013,Anstaing,2025,Appartement,1,3937.0,248000.0,63.0,false
59013,Anstaing,2021,Maison,17,3457.0,280000.0,95.0,true
59013,Anstaing,2022,Maison,30,3350.0,277500.0,90.0,true
59013,Anstaing,2023,Maison,14,2562.0,261750.0,95.0,true
59013,Anstaing,2024,Maison,9,3044.0,289000.0,98.0,false
59013,Anstaing,2025,Maison,20,3248.0,312500.0,89.0,true
59017,Armentières,2021,Appartement,135,1812.0,100000.0,58.0,true
59017,Armentières,2022,Appartement,143,1896.0,106000.0,56.0,true
59017,Armentières,2023,Appartement,110,1890.0,123500.0,60.0,true
59017,Armentières,2024,Appartement,77,1951.0,109000.0,54.0,true
59017,Armentières,2025,Appartement,102,1921.0,104800.0,55.0,true
59017,Armentières,2021,Maison,331,1873.0,147000.0,80.0,true
59017,Armentières,2022,Maison,313,2009.0,142000.0,77.0,true
59017,Armentières,2023,Maison,249,1854.0,149200.0,80.0,true
59017,Armentières,2024,Maison,199,1869.0,152000.0,80.0,true
59017,Armentières,2025,Maison,252,1892.0,146250.0,80.0,true
59025,Aubers,2022,Appartement,1,1688.0,130000.0,77.0,false
59025,Aubers,2024,Appartement,1,2298.0,142500.0,62.0,false
59025,Aubers,2021,Maison,8,2437.0,321000.0,111.0,false
59025,Aubers,2022,Maison,20,2783.0,306495.0,98.0,true
59025,Aubers,2023,Maison,25,2603.0,196020.0,90.0,true
59025,Aubers,2024,Maison,14,2077.0,210000.0,119.0,true
59025,Aubers,2025,Maison,13,2952.0,240000.0,95.0,true
59044,Baisieux,2021,Appartement,5,2843.0,248500.0,80.0,false
59044,Baisieux,2022,Appartement,3,3880.0,194000.0,50.0,false
59044,Baisieux,2023,Appartement,2,3131.0,169800.0,55.0,false
59044,Baisieux,2024,Appartement,2,3809.0,203000.0,55.0,false
59044,Baisieux,2025,Appartement,2,3859.0,207750.0,55.0,false
59044,Baisieux,2021,Maison,55,2635.0,274000.0,101.0,true
59044,Baisieux,2022,Maison,62,2848.0,273770.0,96.0,true
59044,Baisieux,2023,Maison,45,2838.0,250000.0,103.0,true
59044,Baisieux,2024,Maison,45,2857.0,270000.0,92.0,true
59044,Baisieux,2025,Maison,62,2967.0,285500.0,96.0,true
59051,La Bassée,2021,Appartement,11,1937.0,85000.0,48.0,true
59051,La Bassée,2022,Appartement,11,2548.0,107000.0,42.0,true
59051,La Bassée,2023,Appartement,6,2330.0,121500.0,50.0,false
59051,La Bassée,2024,Appartement,4,2240.0,134250.0,51.0,false
59051,La Bassée,2025,Appartement,9,1950.0,101500.0,43.0,false
59051,La Bassée,2021,Maison,84,1958.0,160000.0,83.0,true
59051,La Bassée,2022,Maison,78,2110.0,170575.0,86.0,true
59051,La Bassée,2023,Maison,50,1860.0,163750.0,86.0,true
59051,La Bassée,2024,Maison,69,1785.0,158000.0,83.0,true
59051,La Bassée,2025,Maison,74,1870.0,156000.0,83.0,true
59052,Bauvin,2023,Appartement,1,2675.0,107000.0,40.0,false
59052,Bauvin,2025,Appartement,1,1765.0,54700.0,31.0,false
59052,Bauvin,2021,Maison,78,2046.0,163750.0,81.0,true
59052,Bauvin,2022,Maison,62,2095.0,176710.0,84.0,true
59052,Bauvin,2023,Maison,48,1925.0,184450.0,90.0,true
59052,Bauvin,2024,Maison,37,1892.0,174700.0,90.0,true
59052,Bauvin,2025,Maison,62,1995.0,174764.0,92.0,true
59056,Beaucamps-Ligny,2021,Appartement,3,2930.0,126000.0,44.0,false
59056,Beaucamps-Ligny,2022,Appartement,4,3153.0,278886.0,90.0,false
59056,Beaucamps-Ligny,2021,Maison,11,2781.0,248000.0,99.0,true
59056,Beaucamps-Ligny,2022,Maison,7,3533.0,305300.0,77.0,false
59056,Beaucamps-Ligny,2023,Maison,10,3320.0,472725.0,106.0,true
59056,Beaucamps-Ligny,2024,Maison,4,2462.0,280200.0,112.0,false
59056,Beaucamps-Ligny,2025,Maison,6,3121.0,405000.0,124.0,false
59088,Bois-Grenier,2022,Appartement,1,2783.0,128000.0,46.0,false
59088,Bois-Grenier,2023,Appartement,1,2783.0,128000.0,46.0,false
59088,Bois-Grenier,2024,Appartement,6,2704.0,149250.0,57.0,false
59088,Bois-Grenier,2021,Maison,16,2934.0,263975.0,92.0,true
59088,Bois-Grenier,2022,Maison,18,2709.0,255075.0,91.0,true
59088,Bois-Grenier,2023,Maison,12,2945.0,234500.0,84.0,true
59088,Bois-Grenier,2024,Maison,9,2742.0,252150.0,90.0,false
59088,Bois-Grenier,2025,Maison,14,3075.0,360500.0,108.0,true
59090,Bondues,2021,Appartement,10,4142.0,255000.0,71.0,true
59090,Bondues,2022,Appartement,9,4647.0,444000.0,85.0,false
59090,Bondues,2023,Appartement,5,4500.0,216000.0,54.0,false
59090,Bondues,2024,Appartement,13,4451.0,290000.0,68.0,true
59090,Bondues,2025,Appartement,9,4150.0,315000.0,73.0,false
59090,Bondues,2021,Maison,88,3766.0,392845.0,101.0,true
59090,Bondues,2022,Maison,97,3979.0,420000.0,104.0,true
59090,Bondues,2023,Maison,83,4140.0,470000.0,105.0,true
59090,Bondues,2024,Maison,58,3584.0,387500.0,103.0,true
59090,Bondues,2025,Maison,72,4092.0,454750.0,105.0,true
59098,Bousbecque,2021,Appartement,18,3584.0,217750.0,65.0,true
59098,Bousbecque,2022,Appartement,11,1923.0,126700.0,68.0,true
59098,Bousbecque,2023,Appartement,8,3109.0,177000.0,58.0,false
59098,Bousbecque,2024,Appartement,8,2886.0,152500.0,51.0,false
59098,Bousbecque,2025,Appartement,6,2786.0,157450.0,67.0,false
59098,Bousbecque,2021,Maison,61,2617.0,240000.0,98.0,true
59098,Bousbecque,2022,Maison,53,2620.0,247100.0,94.0,true
59098,Bousbecque,2023,Maison,32,2746.0,255425.0,100.0,true
59098,Bousbecque,2024,Maison,38,2442.0,244500.0,102.0,true
59098,Bousbecque,2025,Maison,50,2924.0,300675.0,109.0,true
59106,Bouvines,2025,Appartement,2,2735.0,135000.0,50.0,false
59106,Bouvines,2021,Maison,14,3464.0,329500.0,94.0,true
59106,Bouvines,2022,Maison,14,3541.0,337632.0,99.0,true
59106,Bouvines,2023,Maison,5,3645.0,452000.0,124.0,false
59106,Bouvines,2024,Maison,4,3041.0,336660.0,102.0,false
59106,Bouvines,2025,Maison,14,2752.0,361750.0,115.0,true
59128,Capinghem,2021,Appartement,4,3348.0,189500.0,55.0,false
59128,Capinghem,2022,Appartement,7,2508.0,153000.0,57.0,false
59128,Capinghem,2023,Appartement,12,3110.0,152910.0,48.0,true
59128,Capinghem,2024,Appartement,7,3205.0,135000.0,44.0,false
59128,Capinghem,2025,Appartement,10,2850.0,161375.0,62.0,true
59128,Capinghem,2021,Maison,23,3483.0,330840.0,97.0,true
59128,Capinghem,2022,Maison,20,3220.0,318000.0,98.0,true
59128,Capinghem,2023,Maison,14,3340.0,287500.0,93.0,true
59128,Capinghem,2024,Maison,10,2675.0,270000.0,104.0,true
59128,Capinghem,2025,Maison,25,3361.0,295450.0,97.0,true
59133,Carnin,2021,Appartement,2,2316.0,140000.0,60.0,false
59133,Carnin,2022,Appartement,1,2286.0,112000.0,49.0,false
59133,Carnin,2023,Appartement,4,1969.0,122500.0,66.0,false
59133,Carnin,2024,Appartement,1,1974.0,75000.0,38.0,false
59133,Carnin,2025,Appartement,1,1194.0,123000.0,103.0,false
59133,Carnin,2021,Maison,22,2442.0,286670.0,119.0,true
59133,Carnin,2022,Maison,7,2496.0,276218.0,99.0,false
59133,Carnin,2023,Maison,9,2791.0,267000.0,94.0,false
59133,Carnin,2024,Maison,9,2696.0,271900.0,110.0,false
59133,Carnin,2025,Maison,13,2500.0,236500.0,100.0,true
59143,La Chapelle-d'Armentières,2021,Appartement,11,2592.0,140000.0,51.0,true
59143,La Chapelle-d'Armentières,2022,Appartement,23,3738.0,192000.0,52.0,true
